식품이름,총내용량,열량(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방(g)
트레비앙 오리진L,108,292.0,,13.0,,8.0,421.0,,5.0,
트레비앙 골드L,124,335.0,,15.0,,10.0,485.0,,7.0,
트레비앙 크림치즈L,129,346.0,,14.0,,11.0,466.0,,7.0,
트레비앙 치즈캡L,120,325.0,,16.0,,8.0,504.0,,6.0,
러블리피스 해쉬브라운R,197,510.0,,24.0,,13.0,845.0,,9.0,
러블리피스 에그타르트R,193,501.0,,23.0,,16.0,763.0,,10.0,
러블리피스 오리진R,166,419.0,,21.0,,10.0,749.0,,7.0,
러블리피스 골드R,193,488.0,,24.0,,13.0,852.0,,10.0,
러블리피스 크림치즈R,100,253.0,,12.0,,7.0,411.0,,5.0,
러블리피스 치즈캡R,190,483.0,,27.0,,10.0,909.0,,10.0,
러블리피스 해쉬브라운L,119,308.0,,13.0,,7.0,516.0,,6.0,
러블리피스 에그타르트L,117,302.0,,13.0,,9.0,466.0,,6.0,
러블리피스 오리진L,101,253.0,,12.0,,6.0,457.0,,5.0,
러블리피스 골드L,117,295.0,,14.0,,7.0,521.0,,6.0,
러블리피스 크림치즈L,121,306.0,,13.0,,8.0,502.0,,7.0,
러블리피스 치즈캡L,113,286.0,,15.0,,6.0,540.0,,6.0,
스윗피스 해쉬브라운R,185,549.0,,17.0,,19.0,613.0,,9.0,
스윗피스 에그타르트R,182,540.0,,16.0,,22.0,531.0,,10.0,
스윗피스 오리진R,155,458.0,,15.0,,16.0,517.0,,7.0,
스윗피스 골드R,182,527.0,,18.0,,19.0,619.0,,10.0,
스윗피스 크림치즈R,189,545.0,,17.0,,20.0,590.0,,11.0,
스윗피스 치즈캡R,179,522.0,,21.0,,16.0,677.0,,10.0,
스윗피스 해쉬브라운L,123,376.0,,11.0,,14.0,393.0,,6.0,
스윗피스 에그타르트L,121,370.0,,11.0,,16.0,342.0,,6.0,
스윗피스 오리진L,105,320.0,,10.0,,13.0,334.0,,5.0,
스윗피스 골드L,121,363.0,,12.0,,14.0,397.0,,6.0,
스윗피스 크림치즈L,125,374.0,,11.0,,15.0,379.0,,7.0,
스윗피스 치즈캡L,117,353.0,,13.0,,13.0,416.0,,6.0,
로맨틱콤보 해쉬브라운R,191,530.0,,20.0,,16.0,729.0,,9.0,
로맨틱콤보 에그타르트R,188,521.0,,19.0,,19.0,647.0,,10.0,
로맨틱콤보 오리진R,160,438.0,,18.0,,13.0,633.0,,7.0,
로맨틱콤보 골드R,188,507.0,,21.0,,16.0,736.0,,10.0,
로맨틱콤보 크림치즈R,195,526.0,,20.0,,17.0,706.0,,11.0,
로맨틱콤보 치즈캡R,184,502.0,,24.0,,13.0,793.0,,10.0,
로맨틱콤보 해쉬브라운L,121,342.0,,12.0,,11.0,455.0,,6.0,
로맨틱콤보 에그타르트L,119,336.0,,12.0,,13.0,404.0,,6.0,
로맨틱콤보 오리진L,103,287.0,,11.0,,9.0,395.0,,5.0,
로맨틱콤보 골드L,119,329.0,,13.0,,11.0,459.0,,6.0,
로맨틱콤보 크림치즈L,123,340.0,,12.0,,12.0,440.0,,7.0,
로맨틱콤보 치즈캡L,115,320.0,,14.0,,9.0,478.0,,6.0,
포테이토 해쉬브라운R,180,436.0,,17.0,,9.0,646.0,,7.0,
포테이토 에그타르트R,177,427.0,,16.0,,13.0,564.0,,8.0,
포테이토 골드R,177,414.0,,18.0,,9.0,652.0,,8.0,
포테이토 크림치즈R,184,432.0,,17.0,,10.0,623.0,,9.0,
포테이토 해쉬브라운L,122,310.0,,13.0,,6.0,441.0,,5.0,
포테이토 에그타르트L,120,304.0,,12.0,,8.0,390.0,,6.0,
포테이토 골드L,120,297.0,,13.0,,6.0,445.0,,5.0,
포테이토 크림치즈L,125,308.0,,12.0,,7.0,426.0,,6.0,
쉬림프 해쉬브라운R,191,452.0,,22.0,,10.0,746.0,,8.0,
쉬림프 에그타르트R,187,442.0,,21.0,,14.0,665.0,,9.0,
쉬림프 오리진R,160,360.0,,20.0,,8.0,650.0,,6.0,
쉬림프 골드R,187,429.0,,23.0,,10.0,753.0,,9.0,
쉬림프 크림치즈R,194,448.0,,22.0,,12.0,723.0,,10.0,
쉬림프 치즈캡R,184,424.0,,26.0,,8.0,811.0,,9.0,
쉬림프 해쉬브라운L,120,287.0,,13.0,,6.0,517.0,,5.0,
쉬림프 에그타르트L,118,281.0,,13.0,,8.0,467.0,,6.0,
쉬림프 오리진L,102,231.0,,12.0,,5.0,458.0,,4.0,
쉬림프 골드L,118,273.0,,14.0,,6.0,521.0,,5.0,
쉬림프 크림치즈L,123,285.0,,13.0,,7.0,503.0,,6.0,
쉬림프 치즈캡L,114,264.0,,15.0,,5.0,540.0,,5.0,
하프앤하프 해쉬브라운R,185,444.0,,20.0,,10.0,696.0,,8.0,
하프앤하프 에그타르트R,182,435.0,,19.0,,13.0,615.0,,9.0,
하프앤하프 골드R,182,421.0,,20.0,,10.0,703.0,,8.0,
하프앤하프 크림치즈R,189,440.0,,19.0,,11.0,673.0,,10.0,
하프앤하프 해쉬브라운L,121,299.0,,13.0,,6.0,479.0,,5.0,
하프앤하프 에그타르트L,119,292.0,,12.0,,8.0,428.0,,6.0,
하프앤하프 골드L,119,285.0,,14.0,,6.0,483.0,,5.0,
하프앤하프 크림치즈L,124,297.0,,13.0,,7.0,465.0,,6.0,
풀드포크 오리진R,157,403.0,,21.0,,8.0,716.0,,7.0,
풀드포크 오리진L,102,274.0,,15.0,,8.0,463.0,,4.0,
칠리치킨 오리진R,164,368.0,,25.0,,5.0,685.0,,5.0,
칠리치킨 오리진L,101,250.0,,14.0,,4.0,398.0,,3.0,
올댓미트 오리진R,144,365.0,,20.0,,9.0,553.0,,6.0,
올댓미트 오리진L,167,413.0,,22.0,,7.0,720.0,,7.0,
트러플머쉬룸 오리진R,149,383.0,,21.0,,2.0,577.0,,2.0,
트러플머쉬룸 오리진L,189,515.0,,29.0,,2.0,800.0,,2.0,
부라타치즈 오리진R,139,372.0,,18.0,,2.0,500.0,,7.0,
부라타치즈 오리진L,174,486.0,,26.0,,5.0,698.0,,9.0,
찰떡단고감 노엣지R,104,252.0,,16.0,,8.0,318.0,,5.0,
찰떡단고감 노엣지L,124,270.0,,16.0,,6.0,395.0,,5.0,
핫앤핫 노엣지R,172,451.0,,27.0,,12.0,1104.0,,8.0,
핫앤핫 노엣지L,114,319.0,,17.0,,5.0,653.0,,6.0,
불고기 오리진R,131,337.0,,17.0,,6.0,651.0,,5.0,
불고기 치즈캡R,155,401.0,,22.0,,6.0,811.0,,7.0,
불고기 오리진L,150,382.0,,19.0,,5.0,721.0,,7.0,
불고기 치즈캡L,174,488.0,,15.0,,5.0,886.0,,10.0,
슈퍼콤보 오리진R,165,430.0,,22.0,,7.0,680.0,,8.0,
슈퍼콤보 패스츄리,166,492.0,,21.0,,6.0,648.0,,11.0,
슈퍼콤보 치즈캡R,189,494.0,,27.0,,7.0,840.0,,10.0,
슈퍼콤보 오리진L,105,281.0,,12.0,,5.0,468.0,,5.0,
슈퍼콤보 치즈캡L,117,314.0,,15.0,,5.0,551.0,,6.0,
포테이토피자 오리진R,147,353.0,,16.0,,4.0,632.0,,5.0,
포테이토피자 패스츄리,149,415.0,,15.0,,4.0,600.0,,8.0,
포테이토피자 치즈캡R,171,417.0,,21.0,,4.0,793.0,,7.0,
포테이토피자 오리진L,192,479.0,,20.0,,8.0,834.0,,7.0,
포테이토피자 치즈캡L,108,273.0,,13.0,,4.0,500.0,,5.0,
치즈스페셜 오리진R,114,336.0,,16.0,,6.0,465.0,,6.0,
치즈스페셜 패스츄리,115,398.0,,15.0,,5.0,433.0,,10.0,
치즈스페셜 치즈캡R,138,400.0,,21.0,,6.0,625.0,,9.0,
치즈스페셜 오리진L,137,411.0,,21.0,,7.0,561.0,,7.0,
치즈스페셜 치즈캡L,161,477.0,,27.0,,7.0,727.0,,10.0,
시카고딥 노엣지R,169,572.0,,30.0,,5.0,790.0,,11.0,
시카고딥 노엣지L,109,309.0,,18.0,,3.0,524.0,,6.0,
페퍼로니 플러스 오리진R,126,188.0,,10.0,,2.0,326.0,,3.0,
페퍼로니 플러스 치즈캡R,149,441.0,,26.0,,4.0,812.0,,9.0,
페퍼로니 플러스 오리진L,160,510.0,,25.0,,6.0,865.0,,9.0,
페퍼로니 플러스 치즈캡L,185,576.0,,31.0,,6.0,1030.0,,12.0,
하와이안스페셜 오리진R,153,370.0,,22.0,,9.0,609.0,,5.0,
하와이안스페셜 치즈캡R,177,435.0,,28.0,,9.0,770.0,,8.0,
하와이안스페셜 오리진L,192,483.0,,27.0,,11.0,793.0,,6.0,
하와이안스페셜 치즈캡L,108,275.0,,16.0,,6.0,479.0,,4.0,
트러플베지테리안 오리진R,141,343.0,,17.0,,6.0,532.0,,5.0,
트러플베지테리안 치즈캡R,164,407.0,,23.0,,6.0,693.0,,7.0,
트러플베지테리안 오리진L,183,471.0,,23.0,,8.0,927.0,,7.0,
트러플베지테리안 치즈캡L,104,269.0,,14.0,,4.0,546.0,,5.0,
고르곤졸라R,120,368.0,,20.0,,4.0,561.0,,11.0,
고르곤졸라L,100,275.0,,15.0,,3.0,419.0,,8.0,
불고기샌드,184,459.0,,23.0,,11.0,251.0,,7.0,
쉬골샌드,194,393.0,,20.0,,12.0,842.0,,7.0,
포골샌드,216,510.0,,22.0,,11.0,736.0,,11.0,
홈샐바,797,1118.0,,19.0,,55.0,2090.0,,17.0,
홈샐바세트,1172,1699.0,,43.0,,62.0,3023.0,,24.0,
핫오븐치킨,747,1499.0,,19.0,,174.0,4833.0,,16.0,
핫하프치킨,374,749.0,,9.0,,87.0,2416.0,,8.0,
바비큐폭립,428,1421.0,,94.0,,18.0,1598.0,,32.0,
The 오븐치킨,644,1162.0,,17.0,,136.0,4324.0,,15.0,
하프치킨(오븐치킨 반마리),322,581.0,,9.0,,68.0,2162.0,,8.0,
BBQ갈비라이스,371,567.0,,25.0,,16.0,1203.0,,3.0,
베이컨 크림리조또,493,567.0,,25.0,,16.0,1203.0,,3.0,
오븐치즈 베이컨 크림스파게티,359,639.0,,24.0,,2.0,857.0,,13.0,
오븐치즈 미트 스파게티,375,583.0,,23.0,,8.0,884.0,,8.0,
쉬림프 까르보나라,378,501.0,,24.0,,6.0,1123.0,,12.0,
스파이시 포테이토,208,383.0,,6.0,,2.0,711.0,,3.0,
베이크윙(4ea),152,280.0,,29.0,,1.0,686.0,,4.0,
베이크윙(8ea),304,560.0,,58.0,,2.0,1373.0,,8.0,
핫윙(4ea),148,252.0,,22.0,,0.0,903.0,,4.0,
핫윙(8ea),296,503.0,,45.0,,0.0,1806.0,,9.0,
크리스피 텐더치킨(4ea),120,283.0,,11.0,,2.0,417.0,,6.0,
크리스피 텐더치킨(8ea),240,566.0,,23.0,,3.0,834.0,,12.0,
어니언링,140,356.0,,5.0,,6.0,627.0,,2.0,
케이준치킨샐러드,221,196.0,,9.0,,3.0,299.0,,5.0,
홈샐러드(하절기),660,972.0,,16.0,,50.0,1914.0,,10.0,
홈샐러드(동절기),665,956.0,,16.0,,50.0,1881.0,,11.0,
4구 샐러드,310,534.0,,6.0,,34.0,866.0,,6.0,
1회용 피클,75,52.0,,0.0,,12.0,270.0,,0.0,
1회용 갈릭디핑소스,10,52.0,,0.0,,0.0,32.0,,1.0,
1회용 핫소스,4,1.0,,0.0,,0.0,81.0,,0.0,
허니머스타드소스,12,29.0,,0.0,,1.0,68.0,,0.0,
눈꽃치즈피자 L,160,396.0,,14.0,,11.0,372.0,,7.0,
눈꽃치즈피자 R,198,490.0,,17.0,,13.0,460.0,,8.0,
눈꽃치즈피자 (씬),123,313.0,,13.0,,6.0,198.0,,7.0,
불금피자 L,129,339.0,,18.0,,7.0,461.0,,5.0,
불금피자 R,140,369.0,,19.0,,7.0,502.0,,5.0,
불금피자 (씬),104,284.0,,16.0,,5.0,376.0,,6.0,
갈릭쉬림프 L,115,336.0,,14.0,,4.0,227.0,,5.0,
갈릭쉬림프 R,184,538.0,,22.0,,7.0,363.0,,8.0,
갈릭쉬림프 (씬),147,480.0,,21.0,,6.0,303.0,,8.0,
베이컨체다 L,122,326.0,,16.0,,4.0,332.0,,7.0,
베이컨체다 R,194,522.0,,25.0,,6.0,530.0,,11.0,
베이컨체다 (씬),161,445.0,,31.0,,3.0,598.0,,11.0,
핫치킨 L,126,274.0,,14.0,,6.0,328.0,,4.0,
핫치킨 R,101,220.0,,11.0,,5.0,263.0,,3.0,
핫치킨 (씬),163,402.0,,25.0,,2.0,485.0,,7.0,
맵피자 L,143,402.0,,19.0,,4.0,211.0,,8.0,
맵피자 R,114,307.0,,15.0,,3.0,166.0,,7.0,
달피자 L,119,396.0,,15.0,,5.0,86.0,,9.0,
달피자 R,190,603.0,,23.0,,8.0,131.0,,13.0,
리얼고구마 L,149,362.0,,15.0,,14.0,540.0,,5.0,
리얼고구마 R,178,397.0,,19.0,,18.0,866.0,,5.0,
리얼고구마 (씬),111,293.0,,9.0,,13.0,151.0,,5.0,
크림치즈포테이토 L,158,389.0,,12.0,,12.0,573.0,,6.0,
크림치즈포테이토 R,185,422.0,,15.0,,16.0,900.0,,6.0,
크림치즈포테이토 (씬),120,347.0,,9.0,,8.0,269.0,,8.0,
마불피자 L,131,322.0,,16.0,,10.0,282.0,,4.0,
마불피자 R,102,249.0,,12.0,,8.0,219.0,,3.0,
마불피자 (씬),193,474.0,,28.0,,13.0,722.0,,8.0,
울트라콤비네이션 L,147,351.0,,17.0,,9.0,500.0,,6.0,
울트라콤비네이션 R,112,267.0,,13.0,,7.0,380.0,,4.0,
울트라콤비네이션 (씬),112,298.0,,14.0,,6.0,315.0,,8.0,
신세개피자 L,118,293.0,,14.0,,5.0,336.0,,5.0,
신세개피자 R,105,261.0,,13.0,,5.0,300.0,,4.0,
신세개피자 (씬),162,422.0,,24.0,,8.0,442.0,,8.0,
신세개피자2 L,134,370.0,,16.0,,13.0,461.0,,6.0,
신세개피자2 R,121,333.0,,14.0,,12.0,415.0,,5.0,
신세개피자2 (씬),186,525.0,,22.0,,18.0,623.0,,10.0,
수퍼수프림 L,126,363.0,,14.0,,6.0,194.0,,8.0,
수퍼수프림 (씬),161,493.0,,20.0,,7.0,502.0,,12.0,
고구마 L,133,408.0,,11.0,,7.0,263.0,,7.0,
고구마 (씬),177,527.0,,30.0,,8.0,380.0,,12.0,
불고기 L,115,344.0,,18.0,,6.0,184.0,,10.0,
불고기 (씬),136,396.0,,23.0,,9.0,402.0,,10.0,
페퍼로니 L,104,363.0,,13.0,,4.0,168.0,,10.0,
페퍼로니 (씬),117,436.0,,24.0,,5.0,476.0,,12.0,
치즈 L,193,603.0,,23.0,,9.0,227.0,,11.0,
치즈 (씬),110,370.0,,23.0,,5.0,301.0,,9.0,
핫바비큐 L,156,417.0,,19.0,,9.0,175.0,,7.0,
핫바비큐 R,125,318.0,,15.0,,7.0,137.0,,6.0,
핫바비큐 (씬),109,289.0,,18.0,,6.0,336.0,,6.0,
씨푸드 L,160,394.0,,16.0,,5.0,201.0,,9.0,
씨푸드 R,128,300.0,,13.0,,4.0,158.0,,7.0,
씨푸드 (씬),109,295.0,,13.0,,3.0,312.0,,8.0,
포테이토베이컨 L,156,394.0,,14.0,,6.0,93.0,,8.0,
포테이토베이컨 R,125,300.0,,11.0,,5.0,71.0,,6.0,
포테이토베이컨 (씬),113,297.0,,13.0,,5.0,198.0,,7.0,
파스트라미 L,191,567.0,,20.0,,11.0,171.0,,7.0,
파스트라미 R,153,439.0,,16.0,,9.0,134.0,,5.0,
파스트라미 (씬),137,320.0,,19.0,,6.0,378.0,,5.0,
맵고달고 L,167,405.0,,11.0,,6.0,627.0,,7.0,
맵고달고 R,143,336.0,,9.0,,7.0,540.0,,5.0,
맵고달고 (씬),131,252.0,,7.0,,5.0,609.0,,6.0,
국물떡볶이,515,796.0,,15.0,,17.0,1384.0,,5.0,
치즈스파게티,340,556.0,,29.0,,6.0,1001.0,,11.0,
베이크윙봉,200,512.0,,29.0,,1.0,690.0,,10.0,
콘샐러드,110,145.0,,2.0,,10.0,320.0,,1.0,
달콤닭강정,380,950.0,,43.0,,19.0,2050.0,,15.0,
치즈-프라이,420,990.0,,34.0,,9.0,1409.0,,18.0,
새우링,115,309.0,,10.0,,2.0,276.0,,6.0,
새우리조또,292,545.0,,15.0,,4.0,626.0,,4.0,
낙지리조또,298,574.0,,24.0,,7.0,895.0,,7.0,
치킨텐더,170,433.0,,24.0,,2.0,834.0,,4.0,
콘버터,130,349.0,,8.0,,8.0,581.0,,10.0,
치즈크러스트,120,107.0,,18.0,,2.0,393.0,,5.0,
고구마 크러스트,120,170.0,,2.0,,14.0,6.0,,7.0,
크림치즈 크러스트,120,258.0,,5.0,,14.0,403.0,,9.0,
단호박골드피자L,101,245.0,,10.0,,2.0,300.0,,4.0,
더너피자 바베킹R,107,240.0,,13.0,,5.0,340.0,,5.0,
더너피자 바베킹L,113,250.0,,13.0,,6.0,370.0,,6.0,
웃음꽃피자R,101,225.0,,10.0,,3.0,380.0,,5.0,
웃음꽃피자L,109,241.0,,16.0,,3.0,380.0,,5.0,
고구마골드피자R,100,235.0,,9.0,,7.0,280.0,,3.0,
고구마골드피자L,102,240.0,,9.0,,7.0,290.0,,4.0,
포테이토피자L,111,250.0,,11.0,,2.0,390.0,,4.0,
슈크림치즈스틱,295,940.0,,36.0,,23.0,950.0,,25.0,
로제치즈오븐스파게티,425,700.0,,28.0,,10.0,860.0,,19.0,
치즈볼&바게트스틱,290,1125.0,,16.0,,39.0,770.0,,34.0,
치즈볼,150,580.0,,8.0,,20.0,400.0,,18.0,
콘치즈그라탕 L,190,735.0,,27.0,,10.0,520.0,,38.0,
버팔로윙 4조각,280,615.0,,62.0,,7.0,1550.0,,11.0,
버팔로윙 10조각,280,615.0,,62.0,,7.0,1550.0,,11.0,
단호박+고구마샐러드,300,605.0,,3.0,,31.0,410.0,,6.0,
치즈오븐스파게티,445,655.0,,27.0,,3.0,1220.0,,10.0,
까르보나라스파게티,395,715.0,,20.0,,3.0,670.0,,14.0,
브래드스틱,220,680.0,,24.0,,8.0,860.0,,0.0,
고구마스틱,385,995.0,,39.0,,7.0,1330.0,,17.0,
치즈스틱,255,805.0,,47.0,,2.0,1110.0,,17.0,
팥치즈반달빵,337,1020.0,,47.0,,20.0,1360.0,,17.0,
치킨텐더 6조각,225,480.0,,42.0,,1.0,1400.0,,7.0,
스노우칠리감자,180,375.0,,6.0,,4.0,850.0,,7.0,
한턱 쏘시지L,118,310.0,,17.0,,6.0,410.0,,2.0,
한턱 쏘시지M,146,400.0,,24.0,,8.0,510.0,,303.0,
관자네 온 새우L,135,295.0,,18.0,,5.0,520.0,,2.2,
관자네 온 새우M,166,380.0,,25.0,,6.0,650.0,,3.2,
골드랑군L,144,355.0,,18.0,,6.0,460.0,,2.9,
골드랑군M,177,455.0,,25.0,,8.0,570.0,,4.2,
쓰리고L,134,280.0,,18.0,,7.0,470.0,,2.6,
쓰리고M,165,360.0,,25.0,,10.0,580.0,,3.9,
코코쉬림프L,146,335.0,,17.0,,7.0,589.0,,7.0,
코코쉬림프M,180,490.0,,23.0,,9.0,727.0,,11.0,
모모스테이키L,145,335.0,,16.0,,7.0,475.0,,8.0,
모모스테이키M,178,428.0,,22.0,,10.0,586.0,,12.0,
맵뜨락L,175,472.0,,25.0,,9.0,1024.0,,9.0,
맵뜨락M,108,304.0,,18.0,,6.0,632.0,,7.0,
비포 (비프앤포크)L,112,285.0,,13.0,,4.0,361.0,,6.0,
비포 (비프앤포크)M,183,489.0,,24.0,,8.0,594.0,,12.0,
토핑들의 수다M,173,393.0,,19.0,,9.0,575.0,,8.0,
웨스틴콤보더블L,153,362.0,,18.0,,6.0,675.0,,6.0,
웨스틴콤보더블M,188,466.0,,25.0,,7.0,833.0,,9.0,
리치킨BBQ L,151,324.0,,15.0,,5.0,429.0,,5.0,
리치킨BBQ M,186,417.0,,21.0,,7.0,529.0,,7.0,
스파이시쉬림프L,123,273.0,,16.0,,5.0,537.0,,5.0,
스파이시쉬림프M,151,351.0,,22.0,,7.0,662.0,,7.0,
베이컨포테이토L,119,242.0,,13.0,,3.0,269.0,,5.0,
베이컨포테이토M,146,311.0,,18.0,,4.0,332.0,,8.0,
콰트로L,128,289.0,,15.0,,5.0,413.0,,5.0,
콰트로M,157,372.0,,20.0,,7.0,510.0,,7.0,
차슈(불갈비)L,113,250.0,,14.0,,4.0,421.0,,3.0,
차슈(불갈비)M,138,322.0,,19.0,,6.0,520.0,,5.0,
슈프림콤비L,100,240.0,,11.0,,6.0,277.0,,3.0,
슈프림콤비M,123,309.0,,16.0,,8.0,342.0,,5.0,
불고기L,101,234.0,,13.0,,6.0,355.0,,3.0,
불고기M,124,301.0,,17.0,,7.0,438.0,,5.0,
스윗고구마L,104,254.0,,12.0,,7.0,317.0,,4.0,
스윗고구마M,128,327.0,,17.0,,9.0,391.0,,6.0,
페페로니L,163,438.0,,21.0,,9.0,628.0,,9.0,
페페로니M,100,282.0,,15.0,,6.0,387.0,,7.0,
멜팅치즈L,164,466.0,,22.0,,9.0,549.0,,10.0,
멜팅치즈M,101,300.0,,15.0,,5.0,339.0,,7.0,
웨지포테이토L,106,245.0,,12.0,,6.0,257.0,,3.0,
웨지포테이토M,131,315.0,,16.0,,8.0,317.0,,4.0,
